"","NSub","model","exp","cond","DurID","Prob","Dur"
"200",5,"Bisection Model","exp1","NS","DurProb7","0.996627221682207","1600"
"201",6,"Bisection Model","exp1","NS","DurProb7","0.985835078676696","1600"
"202",7,"Bisection Model","exp1","NS","DurProb7","0.993353286694261","1600"
"203",8,"Bisection Model","exp1","NS","DurProb7","0.99272005179676","1600"
"204",9,"Bisection Model","exp1","NS","DurProb7","0.999042393147184","1600"
"205",10,"Bisection Model","exp1","NS","DurProb7","0.999098702100264","1600"
"206",11,"Bisection Model","exp1","NS","DurProb7","0.999921655332386","1600"
"207",12,"Bisection Model","exp1","NS","DurProb7","0.999873437267884","1600"
"208",13,"Bisection Model","exp1","NS","DurProb7","0.99866992604207","1600"
"209",14,"Bisection Model","exp1","NS","DurProb7","0.999040235809484","1600"
"210",15,"Bisection Model","exp1","NS","DurProb7","0.993778170408645","1600"
"211",1,"Bisection Model","exp2","DF","DurProb1","0.00946123647636507","400"
"212",2,"Bisection Model","exp2","DF","DurProb1","0.0585074647804256","400"
"213",3,"Bisection Model","exp2","DF","DurProb1","0.00816357954060761","400"
"214",4,"Bisection Model","exp2","DF","DurProb1","0.00808013251086287","400"
"215",5,"Bisection Model","exp2","DF","DurProb1","0.00156308351637677","400"
"216",6,"Bisection Model","exp2","DF","DurProb1","0.00366344586470406","400"
"217",7,"Bisection Model","exp2","DF","DurProb1","0.0161869812677655","400"
"218",8,"Bisection Model","exp2","DF","DurProb1","0.00353535868087281","400"
"219",9,"Bisection Model","exp2","DF","DurProb1","0.00652369304461429","400"
"220",10,"Bisection Model","exp2","DF","DurProb1","0.383421023835754","400"
"221",11,"Bisection Model","exp2","DF","DurProb1","0.0284575825493478","400"
"222",12,"Bisection Model","exp2","DF","DurProb1","0.00151139916549278","400"
"223",13,"Bisection Model","exp2","DF","DurProb1","0.066050595967576","400"
"224",14,"Bisection Model","exp2","DF","DurProb1","0.0399794240646321","400"
"225",15,"Bisection Model","exp2","DF","DurProb1","0.00258659042474046","400"
"226",1,"Bisection Model","exp2","AF","DurProb1","0.00946123647636507","400"
"227",2,"Bisection Model","exp2","AF","DurProb1","0.0585074647804256","400"
"228",3,"Bisection Model","exp2","AF","DurProb1","0.00816357954060761","400"
"229",4,"Bisection Model","exp2","AF","DurProb1","0.00808013251086287","400"
"230",5,"Bisection Model","exp2","AF","DurProb1","0.00156308351637677","400"
"231",6,"Bisection Model","exp2","AF","DurProb1","0.00366344586470406","400"
"232",7,"Bisection Model","exp2","AF","DurProb1","0.0161869812677655","400"
"233",8,"Bisection Model","exp2","AF","DurProb1","0.00353535868087281","400"
"234",9,"Bisection Model","exp2","AF","DurProb1","0.00652369304461429","400"
"235",10,"Bisection Model","exp2","AF","DurProb1","0.383421023835754","400"
"236",11,"Bisection Model","exp2","AF","DurProb1","0.0284575825493478","400"
"237",12,"Bisection Model","exp2","AF","DurProb1","0.00151139916549278","400"
"238",13,"Bisection Model","exp2","AF","DurProb1","0.066050595967576","400"
"239",14,"Bisection Model","exp2","AF","DurProb1","0.0399794240646321","400"
"240",15,"Bisection Model","exp2","AF","DurProb1","0.00258659042474046","400"
"241",1,"Bisection Model","exp2","DF","DurProb2","0.074967095171986","600"
"242",2,"Bisection Model","exp2","DF","DurProb2","0.223891672228165","600"
"243",3,"Bisection Model","exp2","DF","DurProb2","0.0710545965196033","600"
"244",4,"Bisection Model","exp2","DF","DurProb2","0.0459146714546428","600"
"245",5,"Bisection Model","exp2","DF","DurProb2","0.0126557933635626","600"
"246",6,"Bisection Model","exp2","DF","DurProb2","0.0121097096836488","600"
"247",7,"Bisection Model","exp2","DF","DurProb2","0.0747259524133218","600"
"248",8,"Bisection Model","exp2","DF","DurProb2","0.0526105624793122","600"
"249",9,"Bisection Model","exp2","DF","DurProb2","0.0683873999616713","600"
"250",10,"Bisection Model","exp2","DF","DurProb2","0.47558405652381","600"
"251",11,"Bisection Model","exp2","DF","DurProb2","0.100318975783098","600"
"252",12,"Bisection Model","exp2","DF","DurProb2","0.0159005495283202","600"
"253",13,"Bisection Model","exp2","DF","DurProb2","0.146636655110628","600"
"254",14,"Bisection Model","exp2","DF","DurProb2","0.170875207095522","600"
"255",15,"Bisection Model","exp2","DF","DurProb2","0.0184543356408136","600"
"256",1,"Bisection Model","exp2","AF","DurProb2","0.074967095171986","600"
"257",2,"Bisection Model","exp2","AF","DurProb2","0.223891672228165","600"
"258",3,"Bisection Model","exp2","AF","DurProb2","0.0710545965196033","600"
"259",4,"Bisection Model","exp2","AF","DurProb2","0.0459146714546428","600"
"260",5,"Bisection Model","exp2","AF","DurProb2","0.0126557933635626","600"
"261",6,"Bisection Model","exp2","AF","DurProb2","0.0121097096836488","600"
"262",7,"Bisection Model","exp2","AF","DurProb2","0.0747259524133218","600"
"263",8,"Bisection Model","exp2","AF","DurProb2","0.0526105624793122","600"
"264",9,"Bisection Model","exp2","AF","DurProb2","0.0683873999616713","600"
"265",10,"Bisection Model","exp2","AF","DurProb2","0.47558405652381","600"
"266",11,"Bisection Model","exp2","AF","DurProb2","0.100318975783098","600"
"267",12,"Bisection Model","exp2","AF","DurProb2","0.0159005495283202","600"
"268",13,"Bisection Model","exp2","AF","DurProb2","0.146636655110628","600"
"269",14,"Bisection Model","exp2","AF","DurProb2","0.170875207095522","600"
"270",15,"Bisection Model","exp2","AF","DurProb2","0.0184543356408136","600"
"271",1,"Bisection Model","exp2","DF","DurProb3","0.407450701463551","800"
"272",2,"Bisection Model","exp2","DF","DurProb3","0.572498547340292","800"
"273",3,"Bisection Model","exp2","DF","DurProb3","0.415487074305104","800"
"274",4,"Bisection Model","exp2","DF","DurProb3","0.221369603341748","800"
"275",5,"Bisection Model","exp2","DF","DurProb3","0.0949811964370957","800"
"276",6,"Bisection Model","exp2","DF","DurProb3","0.0392619014384158","800"
"277",7,"Bisection Model","exp2","DF","DurProb3","0.283879936052496","800"
"278",8,"Bisection Model","exp2","DF","DurProb3","0.46501034133992","800"
"279",9,"Bisection Model","exp2","DF","DurProb3","0.450738486911768","800"
"280",10,"Bisection Model","exp2","DF","DurProb3","0.569440733745992","800"
"281",11,"Bisection Model","exp2","DF","DurProb3","0.297987316376791","800"
"282",12,"Bisection Model","exp2","DF","DurProb3","0.147098747405616","800"
"283",13,"Bisection Model","exp2","DF","DurProb3","0.294536097116712","800"
"284",14,"Bisection Model","exp2","DF","DurProb3","0.504928703353961","800"
"285",15,"Bisection Model","exp2","DF","DurProb3","0.11995740016652","800"
"286",1,"Bisection Model","exp2","AF","DurProb3","0.407450701463551","800"
"287",2,"Bisection Model","exp2","AF","DurProb3","0.572498547340292","800"
"288",3,"Bisection Model","exp2","AF","DurProb3","0.415487074305104","800"
"289",4,"Bisection Model","exp2","AF","DurProb3","0.221369603341748","800"
"290",5,"Bisection Model","exp2","AF","DurProb3","0.0949811964370957","800"
"291",6,"Bisection Model","exp2","AF","DurProb3","0.0392619014384158","800"
"292",7,"Bisection Model","exp2","AF","DurProb3","0.283879936052496","800"
"293",8,"Bisection Model","exp2","AF","DurProb3","0.46501034133992","800"
"294",9,"Bisection Model","exp2","AF","DurProb3","0.450738486911768","800"
"295",10,"Bisection Model","exp2","AF","DurProb3","0.569440733745992","800"
