"","cond","NSub","curDur","n","RP","prob"
"365","AF",8,400,12,0,0
"366","AF",8,600,24,3,0.125
"367","AF",8,800,36,16,0.444444444444444
"368","AF",8,1000,48,47,0.979166666666667
"369","AF",8,1200,60,60,1
"370","AF",8,1400,72,72,1
"371","AF",8,1600,84,84,1
"372","AF",9,400,12,0,0
"373","AF",9,600,24,0,0
"374","AF",9,800,36,11,0.305555555555556
"375","AF",9,1000,48,44,0.916666666666667
"376","AF",9,1200,60,60,1
"377","AF",9,1400,72,72,1
"378","AF",9,1600,84,83,0.988095238095238
"379","AF",10,400,12,3,0.25
"380","AF",10,600,24,8,0.333333333333333
"381","AF",10,800,36,19,0.527777777777778
"382","AF",10,1000,48,25,0.520833333333333
"383","AF",10,1200,60,41,0.683333333333333
"384","AF",10,1400,72,56,0.777777777777778
"385","AF",10,1600,84,69,0.821428571428571
"386","AF",11,400,12,0,0
"387","AF",11,600,24,0,0
"388","AF",11,800,36,5,0.138888888888889
"389","AF",11,1000,48,26,0.541666666666667
"390","AF",11,1200,60,47,0.783333333333333
"391","AF",11,1400,72,64,0.888888888888889
"392","AF",11,1600,84,83,0.988095238095238
"393","AF",12,400,12,0,0
"394","AF",12,600,24,0,0
"395","AF",12,800,36,0,0
"396","AF",12,1000,48,20,0.416666666666667
"397","AF",12,1200,60,54,0.9
"398","AF",12,1400,72,72,1
"399","AF",12,1600,84,84,1
"400","AF",13,400,12,0,0
"401","AF",13,600,24,0,0
"402","AF",13,800,36,0,0
"403","AF",13,1000,48,6,0.125
"404","AF",13,1200,60,17,0.283333333333333
"405","AF",13,1400,72,62,0.861111111111111
"406","AF",13,1600,84,81,0.964285714285714
"407","AF",14,400,12,0,0
"408","AF",14,600,24,0,0
"409","AF",14,800,36,8,0.222222222222222
"410","AF",14,1000,48,38,0.791666666666667
"411","AF",14,1200,60,53,0.883333333333333
"412","AF",14,1400,72,71,0.986111111111111
"413","AF",14,1600,84,82,0.976190476190476
"414","AF",15,400,12,0,0
"415","AF",15,600,24,0,0
"416","AF",15,800,36,2,0.0555555555555556
"417","AF",15,1000,48,15,0.3125
"418","AF",15,1200,60,46,0.766666666666667
"419","AF",15,1400,72,71,0.986111111111111
"420","AF",15,1600,84,84,1
"421","U-shaped",1,400,120,0,0
"422","U-shaped",1,550,8,0,0
"423","U-shaped",1,700,8,0,0
"424","U-shaped",1,850,8,1,0.125
"425","U-shaped",1,1000,8,7,0.875
"426","U-shaped",1,1150,8,7,0.875
"427","U-shaped",1,1300,8,8,1
"428","U-shaped",1,1450,120,120,1
"429","U-shaped",2,400,120,3,0.025
"430","U-shaped",2,550,8,1,0.125
"431","U-shaped",2,700,8,4,0.5
"432","U-shaped",2,850,8,6,0.75
"433","U-shaped",2,1000,8,8,1
"434","U-shaped",2,1150,8,8,1
"435","U-shaped",2,1300,8,7,0.875
"436","U-shaped",2,1450,120,119,0.991666666666667
"437","U-shaped",3,400,120,0,0
