"","xmean","xmeanhat","alphaMAP","betaMAP","PSEmap","JNDmap","NSub","model","cond","Exp","waic"
"366",888.285714285714,1049.37166826967,0.442980442047094,6.45465659188571,977.35371985299,178.607892415297,6,"EDA","PS","exp1",98.092148592324
"367",888.285714285714,991.620406629818,0.69668337963909,8.05963683671883,905.903708693438,135.168170289556,7,"EDA","PS","exp1",98.092148592324
"368",888.285714285714,951.486943920184,0.621355229797041,7.62503144228473,873.951343816316,137.089959170682,8,"EDA","PS","exp1",98.092148592324
"369",888.285714285714,1004.13687593327,1.01849645764704,9.50581170869994,896.54902520877,116.050806097438,9,"EDA","PS","exp1",98.092148592324
"370",888.285714285714,887.504453858062,1.52091851831086,9.80432071900987,749.828219303751,99.4483276506496,10,"EDA","PS","exp1",98.092148592324
"371",888.285714285714,886.398404208101,3.00440872197939,9.83824579655944,615.709589167237,98.9818916558658,11,"EDA","PS","exp1",98.092148592324
"372",888.285714285714,810.784562007745,1.53571038968352,11.1303475096095,698.916511653046,80.0278591944294,12,"EDA","PS","exp1",98.092148592324
"373",888.285714285714,942.538308198087,0.318621184959182,11.6012685234826,916.652115492554,89.2561159006797,13,"EDA","PS","exp1",98.092148592324
"374",888.285714285714,960.301626644494,1.50183946127759,8.40876487547015,788.787867016018,125.464224946667,14,"EDA","PS","exp1",98.092148592324
"375",888.285714285714,913.506055943235,-0.0818388653667017,12.4919127649787,919.490751844538,80.339095998617,15,"EDA","PS","exp1",98.092148592324
"376",1112,1121.93043882398,-0.463680525258365,9.81718929551122,1174.92089052232,125.551879465786,1,"EDA","NS","exp1",98.092148592324
"377",1112,1126.01359609842,-0.0808430704312628,7.11866919783785,1138.8011542678,173.775791443831,2,"EDA","NS","exp1",98.092148592324
"378",1112,1102.94239022754,1.16022638817897,6.21952698448338,897.193163803136,194.822864603683,3,"EDA","NS","exp1",98.092148592324
"379",1112,1075.1849101499,1.95406981155204,8.44136444133131,826.293111985946,139.931330188477,4,"EDA","NS","exp1",98.092148592324
"380",1112,1103.49256107046,1.95506488392728,6.66231730873941,779.671365554323,181.965288032076,5,"EDA","NS","exp1",98.092148592324
"381",1112,1037.63342778163,0.442980442047094,7.56734006251305,976.891963710453,150.641681948564,6,"EDA","NS","exp1",98.092148592324
"382",1112,1065.03379499666,0.69668337963909,8.15478378325329,974.045319587679,143.481329012427,7,"EDA","NS","exp1",98.092148592324
"383",1112,1099.84018352967,0.621355229797041,9.92696461353951,1030.9982488012,121.718771874,8,"EDA","NS","exp1",98.092148592324
"384",1112,960.720017015716,1.01849645764704,9.92634675842081,862.144986550351,106.329029435479,9,"EDA","NS","exp1",98.092148592324
"385",1112,1038.49648739617,1.52091851831086,10.1941353875477,883.55754663902,111.91778011755,10,"EDA","NS","exp1",98.092148592324
