"","xmean","xmeanhat","alphaMAP","betaMAP","PSEmap","JNDmap","NSub","model","cond","Exp"
"130",1000,1000,0.677316220696982,0.00189687340605682,642.930193161929,874.190165410472,10,"model2","DF","exp2"
"131",1000,1000,0.497372535898494,0.00660035949765397,924.644629421279,251.232993777526,11,"model2","DF","exp2"
"132",1000,1000,0.652514035844095,0.0120466284723579,945.834302324393,137.650802497022,12,"model2","DF","exp2"
"133",1000,1000,0.0292695214066495,0.00451794828643488,993.52150145354,367.031221136894,13,"model2","DF","exp2"
"134",1000,1000,1.66146389777982,0.00792280903114591,790.29358258563,209.297998990605,14,"model2","DF","exp2"
"135",1000,1000,-0.0276620621100068,0.00987948923110175,1002.79994860695,167.845527011988,15,"model2","DF","exp2"
"136",1000,1000,1.75540220047039,0.0108348700394123,837.985855475419,153.04549759911,1,"model2","AF","exp2"
"137",1000,1000,1.83373494075014,0.00764032387422584,759.992511975031,217.036359178105,2,"model2","AF","exp2"
"138",1000,1000,1.87301262573747,0.0110640866977501,830.712405198492,149.874826716672,3,"model2","AF","exp2"
"139",1000,1000,0.567990524415259,0.00900772398430787,936.944057632678,184.08957462421,4,"model2","AF","exp2"
"140",1000,1000,-0.113652408170606,0.0102742377648918,1011.0618822312,161.396700616554,5,"model2","AF","exp2"
"141",1000,1000,-2.0008233642532,0.0060798937931737,1329.08853876685,272.739645298629,6,"model2","AF","exp2"
"142",1000,1000,0.653831435627682,0.00789284054059424,917.161453818189,210.092686919871,7,"model2","AF","exp2"
"143",1000,1000,2.64744713334417,0.0136619796346387,806.21789783438,121.375387824415,8,"model2","AF","exp2"
"144",1000,1000,2.20393268510381,0.0121421270768624,818.488748210885,136.568170148984,9,"model2","AF","exp2"
"145",1000,1000,0.677316220696982,0.00189687340605682,642.930193161929,874.190165410472,10,"model2","AF","exp2"
"146",1000,1000,0.497372535898494,0.00660035949765397,924.644629421279,251.232993777526,11,"model2","AF","exp2"
"147",1000,1000,0.652514035844095,0.0120466284723579,945.834302324393,137.650802497022,12,"model2","AF","exp2"
"148",1000,1000,0.0292695214066495,0.00451794828643488,993.52150145354,367.031221136894,13,"model2","AF","exp2"
"149",1000,1000,1.66146389777982,0.00792280903114591,790.29358258563,209.297998990605,14,"model2","AF","exp2"
"150",1000,1000,-0.0276620621100068,0.00987948923110175,1002.79994860695,167.845527011988,15,"model2","AF","exp2"
"151",925,925,-0.041632785335455,0.0171666120549155,927.425218511508,96.596117585631,1,"model2","U-shaped","exp3"
"152",925,925,0.68529110373279,0.00910261356292275,849.714907537748,182.170545320952,2,"model2","U-shaped","exp3"
"153",925,925,0.695978901904087,0.0105035244803253,858.73853669711,157.873490913421,3,"model2","U-shaped","exp3"
"154",925,925,-0.0423196827930358,0.0112462743236341,928.762995777553,147.446881419099,4,"model2","U-shaped","exp3"
"155",925,925,-0.26788619301229,0.00776561368994158,959.496461414153,213.534711204004,5,"model2","U-shaped","exp3"
"156",925,925,1.07591250967912,0.0145726486806828,851.169049068936,113.790438028033,6,"model2","U-shaped","exp3"
"157",925,925,-1.21596554568268,0.00975537300762585,1049.64572546146,169.981001783046,7,"model2","U-shaped","exp3"
"158",925,925,0.21213406684698,0.0127753322206631,908.395025414379,129.799213669096,8,"model2","U-shaped","exp3"
"159",925,925,1.36006541906933,0.0113001810581989,804.642156876545,146.743496238089,9,"model2","U-shaped","exp3"
"160",925,925,0.241580268084011,0.0104841225992138,901.957512104816,158.165651051036,10,"model2","U-shaped","exp3"
"161",925,925,0.928481563711913,0.00738903321537141,799.343295442171,224.417461428366,11,"model2","U-shaped","exp3"
"162",925,925,2.25350984341148,0.0103439400508252,707.142023992907,160.309134474465,12,"model2","U-shaped","exp3"
"163",925,925,3.2106582251314,0.0147496904137949,707.323687137963,112.424602149795,13,"model2","U-shaped","exp3"
"164",925,925,1.42497817157381,0.00677084311756824,714.541989552758,244.907177409109,14,"model2","U-shaped","exp3"
"165",925,925,0.688312366966862,0.0145031227303327,877.540402521225,114.335933539017,15,"model2","U-shaped","exp3"
"166",925,925,-0.041632785335455,0.0171666120549155,927.425218511508,96.596117585631,1,"model2","I T-shaped","exp3"
"167",925,925,0.68529110373279,0.00910261356292275,849.714907537748,182.170545320952,2,"model2","I T-shaped","exp3"
"168",925,925,0.695978901904087,0.0105035244803253,858.73853669711,157.873490913421,3,"model2","I T-shaped","exp3"
"169",925,925,-0.0423196827930358,0.0112462743236341,928.762995777553,147.446881419099,4,"model2","I T-shaped","exp3"
"170",925,925,-0.26788619301229,0.00776561368994158,959.496461414153,213.534711204004,5,"model2","I T-shaped","exp3"
"171",925,925,1.07591250967912,0.0145726486806828,851.169049068936,113.790438028033,6,"model2","I T-shaped","exp3"
"172",925,925,-1.21596554568268,0.00975537300762585,1049.64572546146,169.981001783046,7,"model2","I T-shaped","exp3"
"173",925,925,0.21213406684698,0.0127753322206631,908.395025414379,129.799213669096,8,"model2","I T-shaped","exp3"
"174",925,925,1.36006541906933,0.0113001810581989,804.642156876545,146.743496238089,9,"model2","I T-shaped","exp3"
"175",925,925,0.241580268084011,0.0104841225992138,901.957512104816,158.165651051036,10,"model2","I T-shaped","exp3"
"176",925,925,0.928481563711913,0.00738903321537141,799.343295442171,224.417461428366,11,"model2","I T-shaped","exp3"
"177",925,925,2.25350984341148,0.0103439400508252,707.142023992907,160.309134474465,12,"model2","I T-shaped","exp3"
"178",925,925,3.2106582251314,0.0147496904137949,707.323687137963,112.424602149795,13,"model2","I T-shaped","exp3"
"179",925,925,1.42497817157381,0.00677084311756824,714.541989552758,244.907177409109,14,"model2","I T-shaped","exp3"
"180",925,925,0.688312366966862,0.0145031227303327,877.540402521225,114.335933539017,15,"model2","I T-shaped","exp3"
"181",888.285714285714,888.285714285714,-0.999549328833909,0.00852331587664619,1005.55806970465,194.551991337909,1,"model3","PS","exp1"
"182",888.285714285714,888.285714285714,-0.697673521836508,0.00765898629389851,979.37786343766,216.507513262499,2,"model3","PS","exp1"
"183",888.285714285714,888.285714285714,0.817415132507306,0.00593408079424359,750.5364720947,279.441439053562,3,"model3","PS","exp1"
"184",888.285714285714,888.285714285714,2.14713412911185,0.00903812607716957,650.721631777998,183.470341356738,4,"model3","PS","exp1"
"185",888.285714285714,888.285714285714,1.80704989282669,0.00678921218134391,622.120827321025,244.244550370687,5,"model3","PS","exp1"
"186",888.285714285714,888.285714285714,0.180166212599575,0.00652394009737237,860.669548301582,254.175858737791,6,"model3","PS","exp1"
"187",888.285714285714,888.285714285714,0.423879689635945,0.00786919941477964,834.420045455435,210.723860103114,7,"model3","PS","exp1"
"188",888.285714285714,888.285714285714,0.48323414245666,0.00878700130884586,833.291510293712,188.713762331433,8,"model3","PS","exp1"
